scenario,model_path,dataset,degradation,level,level_order,run,imgsz,device,elapsed_seconds,precision,recall,mAP50,mAP50_95,fitness,preprocess_ms,inference_ms,postprocess_ms,total_ms,fps,python_version,torch_version,cuda_available,gpu_name,device_requested
gpu_int8,/content/drive/MyDrive/yolo_treinos/yolo26n_airplane_fp32/weights/best.engine,original,original,baseline,0,1,640,0,9.827544212341309,0.8963520100241514,0.8660765626746049,0.9354507011789542,0.8041578216112298,0.8041578216112298,1.2599599204596492,4.205996463842456,0.32975408071854556,5.795710465020651,172.54140040904144,3.12.13,2.11.0+cu128,True,Tesla T4,0
gpu_int8,/content/drive/MyDrive/yolo_treinos/yolo26n_airplane_fp32/weights/best.engine,original,original,baseline,0,2,640,0,9.701107501983643,0.8963520100241514,0.8660765626746049,0.9354507011789542,0.8041578216112298,0.8041578216112298,1.2484031445824093,4.19990711808245,0.3477666819473751,5.796076944612235,172.5304908054324,3.12.13,2.11.0+cu128,True,Tesla T4,0
gpu_int8,/content/drive/MyDrive/yolo_treinos/yolo26n_airplane_fp32/weights/best.engine,original,original,baseline,0,3,640,0,8.264515161514282,0.8963520100241514,0.8660765626746049,0.9354507011789542,0.8041578216112298,0.8041578216112298,1.1442723228947764,3.4944585843293745,0.3208967939761088,4.95962770120026,201.62803747506973,3.12.13,2.11.0+cu128,True,Tesla T4,0
gpu_int8,/content/drive/MyDrive/yolo_treinos/yolo26n_airplane_fp32/weights/best.engine,motion_blur_light,motion_blur,light,1,1,640,0,9.760355949401855,0.8526107293020055,0.8344556377524764,0.8972129987083401,0.7578056823174325,0.7578056823174325,1.2714405132517488,4.313705795191774,0.35080208192676404,5.935948390370287,168.46507655327164,3.12.13,2.11.0+cu128,True,Tesla T4,0
gpu_int8,/content/drive/MyDrive/yolo_treinos/yolo26n_airplane_fp32/weights/best.engine,motion_blur_light,motion_blur,light,1,2,640,0,8.845870733261108,0.8526107293020055,0.8344556377524764,0.8972129987083401,0.7578056823174325,0.7578056823174325,1.2042894674788884,3.6976253505895604,0.31854722774259714,5.220462045811046,191.55392592163574,3.12.13,2.11.0+cu128,True,Tesla T4,0
gpu_int8,/content/drive/MyDrive/yolo_treinos/yolo26n_airplane_fp32/weights/best.engine,motion_blur_light,motion_blur,light,1,3,640,0,8.779069662094116,0.8526107293020055,0.8344556377524764,0.8972129987083401,0.7578056823174325,0.7578056823174325,1.1976995783182915,3.680151983133832,0.31644931685435274,5.194300878306477,192.51868989268772,3.12.13,2.11.0+cu128,True,Tesla T4,0
gpu_int8,/content/drive/MyDrive/yolo_treinos/yolo26n_airplane_fp32/weights/best.engine,motion_blur_medium,motion_blur,medium,2,1,640,0,10.850254535675049,0.725789278693295,0.7286047915157121,0.7707737698172715,0.6240064954710411,0.6240064954710411,1.3537140578120606,4.763489950578716,0.3455489975957713,6.462753005986548,154.73282037448817,3.12.13,2.11.0+cu128,True,Tesla T4,0
gpu_int8,/content/drive/MyDrive/yolo_treinos/yolo26n_airplane_fp32/weights/best.engine,motion_blur_medium,motion_blur,medium,2,2,640,0,8.670972347259521,0.725789278693295,0.7286047915157121,0.7707737698172715,0.6240064954710411,0.6240064954710411,1.1821693939668603,3.6241611397555795,0.3172966036109723,5.123627137333412,195.17423364270203,3.12.13,2.11.0+cu128,True,Tesla T4,0
gpu_int8,/content/drive/MyDrive/yolo_treinos/yolo26n_airplane_fp32/weights/best.engine,motion_blur_medium,motion_blur,medium,2,3,640,0,9.456316471099854,0.725789278693295,0.7286047915157121,0.7707737698172715,0.6240064954710411,0.6240064954710411,1.1913887168615125,3.9306745734864377,0.31699169159041796,5.439054981938368,183.8554681503919,3.12.13,2.11.0+cu128,True,Tesla T4,0
gpu_int8,/content/drive/MyDrive/yolo_treinos/yolo26n_airplane_fp32/weights/best.engine,motion_blur_heavy,motion_blur,heavy,3,1,640,0,9.77231216430664,0.6807838867983227,0.49381623750244225,0.5214984470712496,0.372392690642781,0.372392690642781,1.3731062602390187,4.2492506096369835,0.3415865313180835,5.9639434011940855,167.67429412555836,3.12.13,2.11.0+cu128,True,Tesla T4,0
