scenario,degradation,level,level_order,dataset,precision_mean,precision_std,recall_mean,recall_std,mAP50_mean,mAP50_std,mAP50_95_mean,mAP50_95_std,preprocess_ms_mean,preprocess_ms_std,inference_ms_mean,inference_ms_std,postprocess_ms_mean,postprocess_ms_std,total_ms_mean,total_ms_std,fps_mean,fps_std,elapsed_seconds_mean,elapsed_seconds_std,drop_mAP50_percent,drop_mAP50_95_percent,fps_change_percent
cpu_int8,combined,light,1,combined_light,0.8179731363167645,0.0,0.8614344192967365,0.0,0.9021413829153113,0.0,0.7575501107005344,0.0,1.292765069489127,0.08274931856610483,4.181870787940707,0.5492213155135708,0.3409352931716474,0.025728682430067845,5.815571150601481,0.6559206786690056,173.52169962285907,20.877598228065583,9.570940017700195,1.006151841822824,3.5607775184371535,5.79584127122101,-9.381426778907139
cpu_int8,combined,medium,2,combined_medium,0.7070219511570386,0.0,0.6390600007387984,0.0,0.7205195768217173,0.0,0.5475915817275469,0.0,1.2464533754872862,0.03696187889073316,4.22634228070089,0.46109455372231994,0.33392870197373953,0.005922968216375502,5.806724358161915,0.5008577024775623,173.11714725828574,15.704249063588337,9.511033058166504,0.8734549283126432,22.97621072776555,31.904961064685132,-9.59269694367923
cpu_int8,combined,heavy,3,combined_heavy,0.43527105024138507,0.0,0.12212421930754608,0.0,0.12710274501117128,0.0,0.07292086991843218,0.0,1.2647341598312047,0.04903726655368016,4.13728912889379,0.22669878177378053,0.32875102772167625,0.005223496850763162,5.730774316446671,0.2801329701343132,174.7680069492684,8.332427585108718,9.38656465212504,0.5046643599620709,86.4126730728853,90.93202006388171,-8.730565290345913
cpu_int8,gaussian_blur,light,1,gaussian_blur_light,0.9111316364542188,0.0,0.8496529487895471,0.0,0.9183375572963551,0.0,0.78683025893107,0.0,1.233937516895003,0.03695803032341279,4.12386766706969,0.32658751385096757,0.3438591703149676,0.02026736378702856,5.701664354279661,0.378960000813521,175.90917260811952,11.784261935748608,9.572548309961954,0.5955514802352253,1.829400935937223,2.1547465204581324,-8.134612138441828
cpu_int8,gaussian_blur,medium,2,gaussian_blur_medium,0.885160432857265,0.0,0.8277690110699493,0.0,0.8903329101751702,0.0,0.7480057530889145,0.0,1.2530534518019745,0.07108257482444727,4.075541675484714,0.5882792812434716,0.33408605263229035,0.028435688818777477,5.662681179918979,0.686974309134137,178.46420135667572,23.124538418314845,9.321341673533121,1.0774915228133406,4.823107294368561,6.982717448399336,-6.800294527236643
cpu_int8,gaussian_blur,heavy,3,gaussian_blur_heavy,0.9045575585741988,0.0,0.7456976377342096,0.0,0.8870791824205587,0.0,0.7248181987787783,0.0,1.256413232551429,0.08557543818342483,4.036828275496531,0.477536103150557,0.3306661775178988,0.02295517200809092,5.623907685565858,0.5845208049174806,179.18015296813076,19.744795429649386,9.444903294245401,0.9514204125006295,5.170931904528223,9.866175606361049,-6.426401730736791
cpu_int8,jpeg_compression,light,1,jpeg_compression_light,0.8729381786881008,0.0,0.8975638762461614,0.0,0.9344103520410755,0.0,0.7952145538510432,0.0,1.2597923080322806,0.06323711663199527,4.014308767082148,0.2993357269720453,0.32370339317109814,0.011179485032573678,5.597804468285527,0.3736918257033194,179.15556691585732,11.55299788837336,9.392655769983927,0.5050904829458293,0.11121367877191192,1.1121284304948582,-6.43924135242676
cpu_int8,jpeg_compression,medium,2,jpeg_compression_medium,0.8707140569750392,0.0,0.8522574775721816,0.0,0.9083748763111515,0.0,0.7699517482344933,0.0,1.280953927299967,0.09617042301070687,4.081473767871786,0.5649141756957149,0.3336857048368647,0.022420603471658012,5.696113400008618,0.6739584456883166,177.33409022152003,22.51320069787498,9.463728745778402,1.1391831689227847,2.8944149417685896,4.253651765545279,-7.3904746538240325
cpu_int8,jpeg_compression,heavy,3,jpeg_compression_heavy,0.8888511745802176,0.0,0.8423088650259937,0.0,0.920816621002182,0.0,0.7670470607062715,0.0,1.2150813995697582,0.045099221808453736,3.8648160646556953,0.4834258030646357,0.3269186136759275,0.02090250728227043,5.40681607790138,0.5474279371725285,186.18069816983336,18.227114854690438,8.934955755869547,0.8222815666111919,1.564388177626981,4.614860405212791,-2.770493453404039
cpu_int8,low_light,light,1,low_light_light,0.8713330186365799,0.0,0.8834321987481178,0.0,0.9344102707423176,0.0,0.7969907346365336,0.0,1.264671748600471,0.07881859441977267,4.003888853002715,0.3544504618834986,0.32484935502699125,0.016516032350865018,5.593409956630178,0.44921265525091936,179.54807524408162,14.32668124018072,9.297200759251913,0.8016723146283045,0.11122236963693928,0.891253779057463,-6.234260968080661
cpu_int8,low_light,medium,2,low_light_medium,0.8626638400446858,0.0,0.8994504233176549,0.0,0.933442221253304,0.0,0.8022050375687061,0.0,1.2917052232676423,0.08089882716378545,4.141069375116669,0.4666293863881644,0.3287270493738142,0.016273685519853507,5.761501647758126,0.5632070078141208,174.71785853237637,17.695155135961617,9.579611221949259,0.8504041861205341,0.2147071912094278,0.24283591977145763,-8.756754395212505
cpu_int8,low_light,heavy,3,low_light_heavy,0.8366387179945584,0.0,0.8299938487051532,0.0,0.9002848662126398,0.0,0.7644488161871125,0.0,1.2732064060415782,0.04377367211860447,4.2266641437774055,0.33089158866941737,0.323663271100884,0.005544551874649938,5.8235338209198675,0.3751709323693725,172.19615598522464,11.163019909879269,9.59859307607015,0.504151454420004,3.759239789119267,4.93796172305524,-10.07366799972161
